id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,317.32,6269428774,19,6664577772,107808139,323.94,316.16,-3.3972254596675384,-1.05925,-70380284.29020023,-1.11013,19754890.5216508,21000000.0,21000000.0,3785.82,-91.61657,2017-12-20T00:00:00.000Z,76.93,312.53326,2018-12-16T00:00:00.000Z,,2024-09-01T17:44:35.688Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.11,5787778806,20,6120677571,105381626,4.26,4.11,-0.12290033721589211,-2.90115,-171953871.51831436,-2.88526,1407381840.90917,1488330973.81871,,54.98,-92.51885,2021-11-04T14:10:09.301Z,2.7,52.48468,2020-08-20T05:48:11.359Z,,2024-09-01T17:44:41.717Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999296,5341762822,21,5341737802,71972333,1.004,0.997016,-0.000411330032471846,-0.04115,-2007818.7024946213,-0.03757,5344668653.44744,5344643619.78945,,1.22,-18.00974,2020-03-13T03:02:50.373Z,0.88196,13.3163,2023-03-11T07:50:50.514Z,,2024-09-01T17:44:36.483Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,5.74,5307999549,22,5650054414,522068,5.87,5.72,-0.04043572980816368,-0.69979,-67097535.22741127,-1.2483,925593004.9,985239504.0,,8.14,-29.5088,2022-02-08T17:40:10.285Z,0.799859,616.96389,2019-12-24T15:14:35.376Z,,2024-09-01T17:44:39.353Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,64.33,4821989852,23,5405938474,233182773,65.4,63.89,-0.7530995205539881,-1.15715,-54109245.656080246,-1.10968,74926333.2334713,84000000.0,84000000.0,410.26,-84.30398,2021-05-10T03:13:07.904Z,1.15,5505.16186,2015-01-14T00:00:00.000Z,,2024-09-01T17:44:39.837Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,3.93,4347551772,24,4646234432,134942449,4.07,3.91,-0.06855579527204148,-1.71571,-80402368.83041096,-1.81579,1107181322.94878,1183246170.6779,,20.44,-80.7875,2022-01-16T22:09:45.873Z,0.526762,645.43564,2020-11-04T16:09:15.137Z,,2024-09-01T17:44:40.354Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5.68,4274623897,25,5671017417,102625570,6.07,5.67,-0.2995341008709742,-5.01284,-226099410.4309883,-5.02362,753766667.0,1000000000.0,1000000000.0,44.92,-87.36996,2021-05-03T05:25:04.822Z,1.03,450.70191,2020-09-17T01:20:38.214Z,,2024-09-01T17:44:44.203Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2578.02,3992563678,26,3992563678,15018909,2641.07,2562.32,-41.698805141209505,-1.59173,-75665682.2935853,-1.85992,1548754.3354535,1548754.3354535,,4196.87,-38.60469,2024-03-13T08:29:59.938Z,2231.18,15.48543,2024-01-08T03:35:28.624Z,,2024-09-01T17:44:42.529Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.15916,3913277135,27,3913378452,32201001,0.164667,0.158219,-0.004689101107273775,-2.86184,-116457585.9684596,-2.88996,24589100148.0088,24589736777.2902,28704026601.0,0.207411,-23.4589,2024-08-01T00:40:47.164Z,0.00017105,92712.08393,2022-05-26T14:42:59.316Z,,2024-09-01T17:44:39.194Z
matic-network,matic,Polygon,https://coin-images.coingecko.com/coins/images/4713/large/polygon.png?1698233745,0.40572,3764102500,28,4054858756,161791195,0.422194,0.403689,-0.012543105700114913,-2.99885,-116273691.33056593,-2.99645,9282943566.203985,10000000000.0,10000000000.0,2.92,-86.09603,2021-12-27T02:08:34.307Z,0.00314376,12797.81399,2019-05-10T00:00:00.000Z,"{'times': 153.26620437372407, 'currency': 'usd', 'percentage': 15326.620437372407}",2024-09-01T17:44:40.373Z
